id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7972825,"Lovely, kitschy 1BR + Foldout Couch",42073103,Brent,Queens,Astoria,Entire home/apt,100,2,4,2015-11-29,0.09,1,0
33271110,Cozy Room in BK Brownstone w/ Breakfast,2517810,Amber,Brooklyn,Bedford-Stuyvesant,Private room,45,2,7,2019-06-28,2.41,1,82
20228476,Prospect Heights gorgeous apartment,93220722,Jenelle,Brooklyn,Crown Heights,Entire home/apt,75,2,1,2018-03-24,0.06,1,72
1697047,Charming Private Room with a View,4184612,Lynne,Brooklyn,Williamsburg,Private room,115,3,146,2019-06-09,2.08,1,277
31212571,"Two bedrooms apt in Hell's Kitchen, NYC",201112506,Evan,Manhattan,Hell's Kitchen,Entire home/apt,200,35,0,,,1,58
34169778,22min from Manhattan,28096614,Bruno,Queens,Woodside,Private room,50,2,10,2019-07-02,4.76,2,257
5878382,"Beautiful, bright and friendly",18527346,Kaley,Brooklyn,Prospect Heights,Private room,60,1,5,2016-06-12,0.1,1,0
23404901,Large Sun Drenched Bedroom Minutes from Manhattan,24715521,Sarah,Brooklyn,Williamsburg,Private room,85,2,2,2018-03-10,0.12,1,0
20031965,HOUSE WITH 2 ENTRANCES 15min TO MANHATTAN,142268790,David,Queens,Forest Hills,Entire home/apt,268,3,4,2019-06-16,0.19,2,154
23559210,Sweet Studio Manhattan,176038984,Elena,Manhattan,Midtown,Entire home/apt,220,4,17,2019-02-26,1.06,1,208
15483662,"Spacious Room for 2 in Sunnyside, near Manhattan",75458625,Lidia,Queens,Sunnyside,Private room,108,3,6,2019-05-28,0.36,4,29
6884509,Comfy Room in Williamsburg,640117,Simon,Brooklyn,Williamsburg,Private room,80,3,8,2017-09-04,0.17,5,0
21009737,Luxury 1BR Doorman—NYU—Washington Sq. Pk—Astor Pl.,2506798,Zach,Manhattan,Greenwich Village,Entire home/apt,400,30,0,,,1,90
6763899,"Bright, spacious room in Manhattan",5360450,Sarah,Manhattan,Harlem,Private room,60,1,5,2015-09-15,0.1,1,0
1029808,Spacious 1bd Near Trendy Neighborhoods And City,5293735,Hayley,Brooklyn,Bedford-Stuyvesant,Entire home/apt,105,5,12,2019-05-30,1.01,1,0
9866779,Big bedroom with private bathroom!,50680795,Sierra,Manhattan,Harlem,Private room,30,8,1,2016-01-02,0.02,1,0
4439839,Entire 3BR Private Apt 20min>Manhattan,23044811,Ettrick,Brooklyn,Bedford-Stuyvesant,Entire home/apt,129,2,179,2019-06-16,3.14,2,285
19182044,Perfect Penthouse Duplex,84126420,Sk,Manhattan,Chelsea,Entire home/apt,399,3,44,2019-07-05,2.4,1,112
13565060,AWESOME MODERN WILLIAMSBURG APT AVAILABLE,14017165,Daniel,Brooklyn,Williamsburg,Private room,58,2,1,2016-06-27,0.03,1,0
4278084,Midtown NYC Studio Apartment 4E,17770287,Nina,Manhattan,Midtown,Entire home/apt,75,30,13,2019-01-17,0.23,14,167
4354901,Williamsburg Apt Flexible for December,14730409,Ken,Brooklyn,Williamsburg,Private room,50,5,0,,,1,0
28960088,SOHO 1st Floor | Two Story Apt + Private Backyard,218282660,Maksum,Manhattan,Nolita,Entire home/apt,399,5,29,2019-06-24,3.16,1,76
8145441,Roomy Brooklyn Brownstone,7950356,Liz,Brooklyn,Park Slope,Entire home/apt,175,2,10,2016-09-14,0.25,1,0
21026558,One private room in a brand new 2BR Penthouse!,15569216,Andrey,Manhattan,Upper West Side,Private room,250,2,3,2019-05-05,0.2,1,94
21206343,BK Bungalow - Cozy Williamsburg 1BD  (right off L),153189324,Mason,Brooklyn,Williamsburg,Entire home/apt,115,2,5,2017-12-26,0.23,2,0
9434464,Sunny Studio Apt in Historic Harlem,1241420,Justin,Manhattan,Harlem,Entire home/apt,130,4,94,2019-06-21,2.2,1,27
33962690,Cozy lil Williamsburg walk-up with a resident dog,91183632,Dilan,Brooklyn,Williamsburg,Private room,75,1,0,,,1,43
30793116,"Peaceful, spacious and musical!",22863358,Marisa,Manhattan,Washington Heights,Private room,80,2,1,2019-05-28,0.71,1,29
261344,Inspired in Historic Downtown NYC!,568103,Liah,Manhattan,Financial District,Private room,101,7,51,2019-06-02,0.55,1,307
36113110,Beautiful unique artist loft!,18594883,Reece,Brooklyn,Bedford-Stuyvesant,Private room,51,1,2,2019-07-07,2.0,1,23
13547426,Bay Ridge Beauty,68733807,Tracey,Brooklyn,Fort Hamilton,Entire home/apt,80,3,6,2016-09-23,0.17,1,0
34490373,"Enormous Suite near Central Park, Times Square",260639745,Manhattan At Times Square,Manhattan,Theater District,Private room,300,1,0,,,15,359
8963790,New York City 2bd-apt in great location!,46846064,Frahydel,Manhattan,Roosevelt Island,Entire home/apt,180,7,2,2017-01-02,0.05,2,0
18766576,Nicer than average - on best block in Wash.Heights,130582015,Allison,Manhattan,Washington Heights,Private room,50,3,18,2019-06-23,1.78,1,298
6701706,"Large Light Room for Female, Cat Friendly",13953653,Liora,Queens,Sunnyside,Private room,49,6,15,2017-12-08,0.3,1,128
33226326,Manhattan luxury building super large studio,106857875,Yige,Manhattan,Chelsea,Entire home/apt,140,120,0,,,1,255
35144255,"ENTIRE FLOOR,huge bedrooms,near SOHO,Chinatown,LES",27831147,Sissy,Manhattan,Lower East Side,Entire home/apt,585,2,1,2019-06-30,1.0,1,97
35415829,2 BEDROOMS best Brooklyn area,176463632,Laura,Brooklyn,Greenpoint,Entire home/apt,400,4,0,,,1,348
4024936,"Beautiful, Bright, Williamsburg apt",10263619,Chloe,Brooklyn,Williamsburg,Entire home/apt,120,2,135,2019-07-03,2.32,1,66
23855867,HUGE 1 bedroom in Manhattan,173386569,J,Manhattan,Stuyvesant Town,Entire home/apt,170,1,17,2019-06-16,1.12,2,0
5917687,1300 usd monthly Private Bedroom Brooklyn Heights,30731188,Megan,Brooklyn,Brooklyn Heights,Private room,45,120,0,,,1,146
22797033,room A Manhattan private room,164886138,Eliahu,Manhattan,Harlem,Private room,65,1,3,2018-03-17,0.18,11,364
21767656,AMAZINGLY LOCATED DECORATED ONE BEDROOM CONDO,14321520,Edward,Manhattan,Hell's Kitchen,Entire home/apt,275,4,0,,,1,0
655230,Be in NYC's best: Lower East Side!,3298062,Connie,Manhattan,Chinatown,Entire home/apt,149,4,12,2019-06-03,0.14,1,203
31898581,THE BEST STASH SPOT,181346298,Tyqua,Manhattan,Lower East Side,Private room,75,1,3,2019-06-30,2.81,1,364
15844782,"Cozy Apt steps to Park, Subway, Restaurants, Bars",4702833,Tanya,Brooklyn,Windsor Terrace,Entire home/apt,100,2,87,2019-06-06,2.78,1,77
9437085,BIG bedroom in Uptown Manhattan,48913242,Alec,Manhattan,Washington Heights,Private room,49,2,0,,,1,0
3309982,3 Bedroom Brownstone in Historic Crown Heights.,16713474,Simone,Brooklyn,Crown Heights,Entire home/apt,220,2,55,2019-01-01,0.91,1,306
17922181,Cute UWS studio off CPW,5162192,Amy,Manhattan,Upper West Side,Entire home/apt,110,30,9,2019-05-19,0.38,12,161
34647032,Your Dreamaker on Times Square NYC,259087876,Dennis,Manhattan,Theater District,Private room,91,1,5,2019-07-01,3.49,7,63
822016,1BR w/private bath in modern Prospect Heights apt,61873,Seema,Brooklyn,Crown Heights,Private room,90,2,24,2019-07-03,0.3,1,30
33928971,Large 1BR apt. in luxury West Village building.,158709729,Michael,Manhattan,West Village,Entire home/apt,450,2,4,2019-06-28,2.55,1,43
20007899,"Brooklyn 1 Bedroom w/ AC, laundry and roof!",3554481,Jessica,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,4,0,,,1,0
31340282,SPACIOUS Modern APT in Greenpoint/Williamsburg,155109689,Dolores,Brooklyn,Greenpoint,Entire home/apt,172,2,9,2019-06-15,1.61,2,281
25635216,Clean and Nice Central Park Apt in Lincoln Center,193127179,Sagawa,Manhattan,Upper West Side,Private room,85,4,18,2019-05-03,1.38,1,133
2015586,Wonderful bright Brooklyn apt,7127362,Lydia,Brooklyn,Clinton Hill,Entire home/apt,130,5,9,2016-01-06,0.13,1,0
19530652,Gorgeous cozy bdrm + private bath + backyard!,4351028,Jake,Brooklyn,Bushwick,Private room,65,1,0,,,1,0
1360791,Renovated Big Private Room # 3,2712353,Masud,Brooklyn,Cypress Hills,Private room,40,28,91,2019-06-24,1.25,4,325
13486730,Large private bedroom in West Soho/West Village,3714721,James,Manhattan,SoHo,Private room,101,2,102,2019-07-01,2.97,2,116
22078370,Stunning Modern Eco West Village 3 Floor Townhome!,2415163,R,Manhattan,West Village,Entire home/apt,400,3,17,2019-06-22,0.88,1,37
34951077,Private room with Queen Size Bed and Work Space,263365570,Xun,Brooklyn,Bedford-Stuyvesant,Private room,35,3,2,2019-06-16,2.0,1,20
27849036,"Charming, Sunny West Village 1BR - Prime Location!",3598494,Jenna,Manhattan,West Village,Entire home/apt,250,2,3,2019-04-23,0.34,1,0
3511778,10th St / W Village  Junior Loft,17681072,Brooks,Manhattan,Greenwich Village,Entire home/apt,275,30,12,2016-09-25,0.2,1,358
34194218,Cozy studio located in midtown west,2086035,Piyawan,Manhattan,Hell's Kitchen,Entire home/apt,195,1,9,2019-07-01,6.14,2,267
5318322,"Triplex 3 bedroom Private Apt, Deck, yard & pond!",8354345,Gennaro,Brooklyn,Gowanus,Entire home/apt,495,2,95,2019-06-17,1.94,1,285
16338454,Cozy & Sunlit Three Bedroom Apartment,5828836,Dana,Manhattan,Harlem,Entire home/apt,255,2,1,2017-01-01,0.03,1,0
15805694,Spacious 1 Bedroom in Bushwick,78421449,Meg,Brooklyn,Bedford-Stuyvesant,Private room,200,2,0,,,1,0
5224210,Feel at home,1220404,Tom,Brooklyn,East New York,Entire home/apt,100,2,1,2016-05-03,0.03,2,292
15086143,$89.00 Queen Size Bed,95471771,Lynne,Queens,Jamaica,Private room,79,1,5,2018-09-07,0.16,2,179
30938582,"Beautiful apartment in, steps from the train",231186389,A.M,Brooklyn,Flatbush,Private room,40,53,0,,,1,90
3219401,Lovely room in Greenwich Village,3481965,Pierre-Hubert,Manhattan,Greenwich Village,Private room,90,4,3,2017-01-01,0.05,1,0
34840495,Newly Renovated 5 Bed 2 Bath Spacious Apartment.,262657892,Philip,Brooklyn,Crown Heights,Entire home/apt,475,3,2,2019-06-30,2.0,3,219
30791783,"Sunny, Spacious, Chic Interior Designer Apartment",129328105,Charlie,Manhattan,Upper East Side,Entire home/apt,199,2,1,2019-04-29,0.42,1,50
21963398,4BR 2 Bath Williamsburg Apt with Private Roof,11310081,Chandler,Brooklyn,Williamsburg,Entire home/apt,650,2,1,2019-01-01,0.16,1,0
18704805,"East 12th st, Lux Studio in Greenwich Village**",22541573,Ken,Manhattan,East Village,Entire home/apt,235,30,1,2018-05-06,0.07,87,307
26337439,3 Bed / 1.5 Bath Huge Midtown Apt!,198082137,Alex,Manhattan,Midtown,Entire home/apt,350,5,36,2019-06-09,2.87,1,124
17892835,"Comfy room seconds from 2,3,5 trains",25753120,Aaron,Brooklyn,Crown Heights,Private room,40,5,0,,,2,0
8236660,Large & Cozy Manhattan LES 2BR Apt,8332684,Mostafa,Manhattan,Lower East Side,Entire home/apt,208,13,1,2015-09-28,0.02,1,0
33909411,Stuyvesant Heights quiet private Apt - 2 bedrooms,6790229,Jean-Yves,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,20,2,2019-06-18,1.5,2,285
679633,Cozy 1 bedroom apartment in NYC,3458785,Glauce,Queens,Ditmars Steinway,Entire home/apt,75,3,1,2012-09-18,0.01,1,0
1797025,Charming Spacious 1 Bdrm Apt,9340104,Mike,Brooklyn,Crown Heights,Entire home/apt,107,3,143,2019-06-17,2.07,1,23
794535,"Live in real NY apt, Midtown west",4186145,Raquel,Manhattan,Chelsea,Entire home/apt,225,7,3,2015-09-26,0.06,1,250
18215065,NEW 2 twin beds and private bathroom in Flushing!!,10366837,Jia,Queens,Flushing,Entire home/apt,65,2,84,2019-06-15,3.19,3,119
3826908,"Home, Sweet Home!",19691070,Haim,Queens,Long Island City,Private room,79,1,39,2019-07-06,0.83,1,297
36205851,Entire Spacious Apartment in UWS near Central Park,140997060,Amy,Manhattan,Upper West Side,Entire home/apt,275,3,0,,,2,24
6590549,Luxury 1bdrm w/ private terrace,6495511,Kari,Brooklyn,Williamsburg,Entire home/apt,175,3,5,2016-08-15,0.1,1,0
9495205,Comfy & Sunny Studio Rental,33058791,Amanda,Brooklyn,Clinton Hill,Entire home/apt,180,2,0,,,1,0
2093064,"Sunny Chelsea 1 B.R. Hi Line, Washer/Dryer, 3 Beds",7245581,Michael,Manhattan,Chelsea,Entire home/apt,139,90,20,2018-12-15,0.31,19,219
14201811,Adorable Abode in Harlem,23033819,Brandy-Courtney,Manhattan,Harlem,Private room,75,2,0,,,1,0
23608085,Stylish bedroom in Park Slope near Barclays,1746811,Jon,Brooklyn,Park Slope,Entire home/apt,95,1,8,2018-07-29,0.52,2,6
34902713,Cozy Lenox Hill Studio,68398714,Farah,Manhattan,Upper East Side,Entire home/apt,175,2,1,2019-06-30,1.0,1,83
9843884,Beautiful and Warm Garden Apartment,50686888,Nadine,Brooklyn,East New York,Entire home/apt,150,30,16,2018-11-03,0.37,1,365
13761271,Flushing Private Room W/ bathroom W/2 Quee Bed/1FL,65809485,Shirley,Queens,Flushing,Private room,60,7,82,2019-06-11,2.34,12,152
5299177,Bright & Spacious Apt in Prime Brooklyn,11414889,Ben,Brooklyn,Prospect Heights,Entire home/apt,190,2,9,2018-06-10,0.25,1,0
22126122,Cozy bright apartment,1931414,Vera,Manhattan,Upper West Side,Private room,250,6,1,2018-07-13,0.08,1,55
3751048,GREAT ONE BED! ELEVATOR/LAUNDRY ,1475015,Mike,Manhattan,Upper East Side,Entire home/apt,95,30,10,2018-11-10,0.22,52,336
20941915,Large Bedroom near Manhattan,150572903,Dimitri,Staten Island,St. George,Private room,85,2,0,,,2,356
